Timepoint,Type,Treat,Rep,Date_IV,NSE_Lin_Flux_Light,Lin_FluxCV_Light,R_Dark_Flux_Light,Dark_FluxCV_Light,GPP_light_dark,GPP_positive
Final,cyano,1.8,1,8/5/2019 11:30,0.502981,1.34426,1.44386,1.29424,-0.940879,0.940879
Final,cyano,1.8,2,8/5/2019 10:33,0.420382,1.36537,1.31685,1.28407,-0.896468,0.896468
Final,cyano,1.8,3,8/5/2019 10:44,0.437667,1.35936,1.25288,1.33074,-0.815213,0.815213
Final,cyano,1.8,4,8/5/2019 11:37,0.292576,1.41223,1.34321,1.30094,-1.050634,1.050634
Final,cyano,1.8,5,8/5/2019 11:33,0.329509,1.49768,1.19492,1.30798,-0.865411,0.865411
Final,moss,1.8,1,8/5/2019 10:40,0.472923,1.35312,1.73764,1.26101,-1.264717,1.264717
Final,moss,1.8,2,8/5/2019 11:23,0.344089,1.46371,1.77209,1.25748,-1.428001,1.428001
Final,moss,1.8,3,8/5/2019 11:26,0.340387,1.41617,1.77214,1.25798,-1.431753,1.431753
Final,moss,1.8,4,8/5/2019 10:37,0.427608,1.38616,1.69429,1.24582,-1.266682,1.266682
Final,moss,1.8,5,8/5/2019 10:48,0.421034,1.4138,1.73688,1.27276,-1.315846,1.315846
Final,cyano,2.7,1,8/6/2019 11:59,0.376451,1.65178,1.79527,1.26446,-1.418819,1.418819
Final,cyano,2.7,2,8/6/2019 12:03,0.436445,1.4913,1.74169,1.27976,-1.305245,1.305245
Final,cyano,2.7,3,8/6/2019 11:04,0.290359,2.8767,1.32625,1.28186,-1.035891,1.035891
Final,cyano,2.7,4,8/6/2019 11:56,0.199254,4.117,1.66735,1.28432,-1.468096,1.468096
Final,cyano,2.7,5,8/6/2019 11:24,1.38796,1.29452,NA,NA,NA,#VALUE!
Final,moss,2.7,1,8/6/2019 11:08,0.373099,2.75928,1.82855,1.26788,-1.455451,1.455451
Final,moss,2.7,2,8/6/2019 11:00,0.370012,2.80058,1.69918,1.27206,-1.329168,1.329168
Final,moss,2.7,3,8/6/2019 11:47,0.183499,1.65909,2.08822,1.25503,-1.904721,1.904721
Final,moss,2.7,4,8/6/2019 11:51,0.495741,1.52223,2.03808,1.25038,-1.542339,1.542339
Final,moss,2.7,5,8/6/2019 10:56,0.2933,3.3331,1.6839,1.25705,-1.3906,1.3906
Final,cyano,5.4,1,8/9/2019 11:33,0.479953,1.36487,1.65962,1.32453,-1.179667,1.179667
Final,cyano,5.4,2,8/9/2019 10:46,0.434049,1.40469,1.3679,1.27417,-0.933851,0.933851
Final,cyano,5.4,3,8/9/2019 11:37,0.485993,1.34627,1.96922,1.26062,-1.483227,1.483227
Final,cyano,5.4,4,8/9/2019 10:37,0.542035,1.32793,1.57622,1.27396,-1.034185,1.034185
Final,cyano,5.4,5,8/9/2019 11:26,0.475663,1.33114,1.98143,1.25619,-1.505767,1.505767
Final,moss,5.4,1,8/9/2019 10:33,0.556655,1.33475,2.1327,1.27399,-1.576045,1.576045
Final,moss,5.4,2,8/9/2019 10:41,0.589566,1.43159,2.12304,1.26057,-1.533474,1.533474
Final,moss,5.4,3,8/9/2019 11:41,0.522929,1.37571,2.41583,1.24483,-1.892901,1.892901
Final,moss,5.4,4,8/9/2019 11:30,0.342407,1.45963,2.31673,1.24599,-1.974323,1.974323
Final,moss,5.4,5,8/9/2019 10:50,0.699811,2.57269,2.52796,1.25398,-1.828149,1.828149
Final,cyano,7.7,1,8/7/2019 11:40,0.564607,1.34647,1.88676,1.26327,-1.322153,1.322153
Final,cyano,7.7,2,8/7/2019 10:33,0.455483,1.36961,1.52403,1.27171,-1.068547,1.068547
Final,cyano,7.7,3,8/7/2019 11:23,0.51231,1.38541,2.08128,1.27075,-1.56897,1.56897
Final,cyano,7.7,4,8/7/2019 10:49,0.831864,1.29261,1.86208,1.25569,-1.030216,1.030216
Final,cyano,7.7,5,8/7/2019 10:41,0.338611,1.67305,1.76938,1.26918,-1.430769,1.430769
Final,moss,7.7,2,8/7/2019 10:45,0.721446,1.35869,2.42022,1.24672,-1.698774,1.698774
Final,moss,7.7,3,8/7/2019 11:36,0.529118,1.3389,2.75071,1.2614,-2.221592,2.221592
Final,moss,7.7,4,8/7/2019 10:37,0.344447,1.86782,2.31952,1.26302,-1.975073,1.975073
Final,moss,7.7,5,8/7/2019 11:28,0.865787,1.30231,2.83897,1.24436,-1.973183,1.973183
Final,cyano,10,1,8/8/2019 11:34,0.40256,1.36844,1.73113,1.27404,-1.32857,1.32857
Final,cyano,10,2,8/8/2019 10:44,0.879578,1.34304,2.25613,1.24835,-1.376552,1.376552
Final,cyano,10,3,8/8/2019 11:30,0.428022,1.43159,2.06041,1.26909,-1.632388,1.632388
Final,cyano,10,4,8/8/2019 10:32,0.621912,1.62055,1.85089,1.26887,-1.228978,1.228978
Final,cyano,10,5,8/8/2019 9:59,0.50299,1.33239,1.56612,1.27613,-1.06313,1.06313
Final,moss,10,1,8/8/2019 10:36,0.953298,1.3005,2.60756,1.24814,-1.654262,1.654262
Final,moss,10,2,8/8/2019 10:40,1.58197,1.25701,2.8446,1.23824,-1.26263,1.26263
Final,moss,10,3,8/8/2019 10:48,0.482538,1.40308,2.39116,1.24596,-1.908622,1.908622
Final,moss,10,4,8/8/2019 11:26,0.74544,1.34066,2.95239,1.24485,-2.20695,2.20695
Final,moss,10,5,8/8/2019 11:22,0.841543,1.34292,3.19251,1.24216,-2.350967,2.350967
Initial,cyano,1.8,1,5/17/2019 10:14,1.37099,1.35005,2.07003,1.27868,-0.69904,0.69904
Initial,cyano,1.8,2,5/17/2019 11:26,1.65805,1.28506,2.37107,1.26825,-0.71302,0.71302
Initial,cyano,1.8,3,5/17/2019 11:31,1.59113,1.28075,2.13801,1.28288,-0.54688,0.54688
Initial,cyano,1.8,4,5/17/2019 10:30,0.724854,1.38273,2.15993,1.30296,-1.435076,1.435076
Initial,cyano,1.8,5,5/17/2019 10:09,1.09665,1.32749,1.49855,1.29094,-0.4019,0.4019
Initial,moss,1.8,1,5/17/2019 11:20,1.38308,1.77307,2.53869,1.28033,-1.15561,1.15561
Initial,moss,1.8,2,5/17/2019 10:19,1.10296,1.5517,2.10328,1.26563,-1.00032,1.00032
Initial,moss,1.8,3,5/17/2019 11:15,0.964218,2.21578,2.57775,1.26751,-1.613532,1.613532
Initial,moss,1.8,4,5/17/2019 11:09,0.575376,1.58347,2.82083,1.2538,-2.245454,2.245454
Initial,moss,1.8,5,5/17/2019 10:25,0.624209,1.48012,2.01271,1.28079,-1.388501,1.388501
Initial,cyano,2.7,1,5/21/2019 11:32,0.388616,1.47427,1.755,1.27331,-1.366384,1.366384
Initial,cyano,2.7,2,5/21/2019 11:48,0.90166,1.31678,1.81517,1.28214,-0.91351,0.91351
Initial,cyano,2.7,3,5/21/2019 10:30,0.809919,1.56482,1.85797,1.30344,-1.048051,1.048051
Initial,cyano,2.7,4,5/21/2019 10:35,0.843906,1.31834,1.85263,1.29296,-1.008724,1.008724
Initial,cyano,2.7,5,5/21/2019 10:55,0.702265,1.40762,1.92549,1.3026,-1.223225,1.223225
Initial,moss,2.7,1,5/21/2019 10:50,0.332657,1.82366,1.93512,1.2665,-1.602463,1.602463
Initial,moss,2.7,2,5/21/2019 10:26,0.723858,1.31621,1.97157,1.33344,-1.247712,1.247712
Initial,moss,2.7,3,5/21/2019 12:05,0.315811,1.61392,1.62656,1.28183,-1.310749,1.310749
Initial,moss,2.7,4,5/21/2019 11:51,0.55605,1.32502,1.71147,1.29277,-1.15542,1.15542
Initial,moss,2.7,5,5/21/2019 11:44,0.827432,1.32122,1.63214,1.2752,-0.804708,0.804708
Initial,cyano,5.4,1,5/15/2019 10:44,1.95819,1.33595,2.47439,1.25474,-0.5162,0.5162
Initial,cyano,5.4,2,5/15/2019 10:55,1.24878,1.28207,2.29795,1.25142,-1.04917,1.04917
Initial,cyano,5.4,3,5/15/2019 11:00,1.52409,1.25134,2.93164,1.23844,-1.40755,1.40755
Initial,cyano,5.4,4,5/15/2019 11:56,0.925713,1.31583,2.23864,1.24272,-1.312927,1.312927
Initial,cyano,5.4,5,5/15/2019 12:10,0.90183,1.32104,3.23251,1.26494,-2.33068,2.33068
Initial,moss,5.4,1,5/15/2019 10:37,2.4647,1.36389,2.84371,1.24522,-0.37901,0.37901
Initial,moss,5.4,2,5/15/2019 10:49,1.85664,1.28728,2.97397,1.24814,-1.11733,1.11733
Initial,moss,5.4,3,5/15/2019 11:49,1.00558,1.27569,2.9892,1.24259,-1.98362,1.98362
Initial,moss,5.4,4,5/15/2019 12:01,0.600551,1.43272,2.97583,1.25166,-2.375279,2.375279
Initial,moss,5.4,5,5/15/2019 12:06,1.06507,1.27909,3.3519,1.25054,-2.28683,2.28683
Initial,cyano,7.7,1,5/15/2019 13:01,0.467214,1.68983,2.52098,1.2446,-2.053766,2.053766
Initial,cyano,7.7,2,5/15/2019 13:07,0.871612,1.39176,2.27004,1.24771,-1.398428,1.398428
Initial,cyano,7.7,3,5/15/2019 13:17,1.22692,1.39157,2.79079,1.25888,-1.56387,1.56387
Initial,cyano,7.7,4,5/15/2019 14:16,1.05573,1.43596,2.68648,1.25199,-1.63075,1.63075
Initial,cyano,7.7,5,5/15/2019 14:25,1.1424,1.53464,2.74639,1.25128,-1.60399,1.60399
Initial,moss,7.7,1,5/15/2019 12:52,0.880683,1.42594,3.05625,1.24707,-2.175567,2.175567
Initial,moss,7.7,2,5/15/2019 13:12,1.88691,1.25503,3.27521,1.24614,-1.3883,1.3883
Initial,moss,7.7,3,5/15/2019 14:03,1.70036,1.27871,3.41338,1.23633,-1.71302,1.71302
Initial,moss,7.7,4,5/15/2019 14:11,0.529889,2.47808,2.84032,1.25683,-2.310431,2.310431
Initial,moss,7.7,5,5/15/2019 14:21,1.63423,1.34338,3.25356,1.24939,-1.61933,1.61933
Initial,cyano,10,1,5/16/2019 12:39,1.10943,1.30997,3.09204,1.25496,-1.98261,1.98261
Initial,cyano,10,2,5/16/2019 10:19,2.30433,1.44099,3.37714,1.27372,-1.07281,1.07281
Initial,cyano,10,3,5/16/2019 12:30,1.15374,1.27879,3.53255,1.25295,-2.37881,2.37881
Initial,cyano,10,4,5/16/2019 10:09,1.2449,1.2495,2.7529,1.282,-1.508,1.508
Initial,cyano,10,5,5/16/2019 10:24,1.78309,1.26707,2.53778,1.2556,-0.75469,0.75469
Initial,moss,10,1,5/16/2019 10:28,2.12827,1.29181,3.45014,1.24804,-1.32187,1.32187
Initial,moss,10,2,5/16/2019 12:24,1.88865,1.32061,4.13686,1.24523,-2.24821,2.24821
Initial,moss,10,3,5/16/2019 12:44,1.14947,1.47897,4.06947,1.24458,-2.92,2.92
Initial,moss,10,4,5/16/2019 10:14,2.00904,1.38008,3.20207,1.25129,-1.19303,1.19303
Initial,moss,10,5,5/16/2019 12:34,0.779011,1.3247,4.6286,1.2501,-3.849589,3.849589
